Feature,Importance
MonthlyIncome,0.06202155037380556
Age,0.06191601847831266
DailyRate,0.05645368534852368
MonthlyRate,0.052933004705794096
DistanceFromHome,0.05124459082357788
TotalWorkingYears,0.04766683044048576
OverTime_Yes,0.04716381347785839
HourlyRate,0.041784652010861595
YearsAtCompany,0.03922600781964361
EnvironmentSatisfaction,0.03540445067731871
NumCompaniesWorked,0.03239895987146471
PercentSalaryHike,0.030972338349277605
YearsWithCurrManager,0.028751451725200057
JobSatisfaction,0.02839086055748625
StockOptionLevel,0.02717338030702124
JobInvolvement,0.026646277786656132
YearsInCurrentRole,0.026071164709246277
RelationshipSatisfaction,0.025604986888276313
TrainingTimesLastYear,0.024429365942851045
WorkLifeBalance,0.024370779641913504
YearsSinceLastPromotion,0.02297379026494273
JobLevel,0.020319415137280458
Education,0.019891194391757346
MaritalStatus_Single,0.019425401143805195
BusinessTravel_Travel_Frequently,0.016631902703391366
JobRole_Sales Representative,0.011551094143528324
EducationField_Technical Degree,0.010350480979545384
MaritalStatus_Married,0.010261948728169063
JobRole_Laboratory Technician,0.009799592607741653
Gender_Male,0.009195877933987929
Department_Research & Development,0.008782832107876004
EducationField_Medical,0.008211768473079273
BusinessTravel_Travel_Rarely,0.008029782418225268
EducationField_Marketing,0.007801931513381256
Department_Sales,0.007793992690969146
EducationField_Life Sciences,0.007539082010802293
JobRole_Research Scientist,0.0061274936017334716
JobRole_Sales Executive,0.005646043591881735
PerformanceRating,0.005446111573093726
EducationField_Other,0.004622749369723659
JobRole_Human Resources,0.004150417768220037
JobRole_Manufacturing Director,0.002354897348323814
JobRole_Manager,0.0013482766708816317
JobRole_Research Director,0.001119752892084219
EmployeeCount,0.0
StandardHours,0.0
